

Symbols from C:\Users\Spence\AppData\Local\Temp\arduino_build_870305/dummy.ino.elf:

Name                  Value   Class        Type         Size     Line  Section

__heap_end          |00000000|   W  |            NOTYPE|        |     |*ABS*
__TEXT_REGION_ORIGIN__|00000000|   W  |            NOTYPE|        |     |*ABS*
__tmp_reg__         |00000000|   a  |            NOTYPE|        |     |*ABS*
__vector_default    |00000000|   W  |            NOTYPE|        |     |.text	../../../../crt1/gcrt1.S:61
__vectors           |00000000|   T  |            NOTYPE|        |     |.text	../../../../crt1/gcrt1.S:61
__zero_reg__        |00000001|   a  |            NOTYPE|        |     |*ABS*
__FUSE_REGION_LENGTH__|00000010|   A  |            NOTYPE|        |     |*ABS*
__CCP__             |00000034|   a  |            NOTYPE|        |     |*ABS*
__RAMPZ__           |0000003b|   a  |            NOTYPE|        |     |*ABS*
__SP_L__            |0000003d|   a  |            NOTYPE|        |     |*ABS*
__SP_H__            |0000003e|   a  |            NOTYPE|        |     |*ABS*
__SREG__            |0000003f|   a  |            NOTYPE|        |     |*ABS*
__ctors_start       |00000100|   T  |            NOTYPE|        |     |.text
__trampolines_end   |00000100|   T  |            NOTYPE|        |     |.text
__trampolines_start |00000100|   T  |            NOTYPE|        |     |.text
__ctors_end         |00000102|   T  |            NOTYPE|        |     |.text	../../../../crt1/gcrt1.S:230
__dtors_end         |00000102|   T  |            NOTYPE|        |     |.text	../../../../crt1/gcrt1.S:230
__dtors_start       |00000102|   T  |            NOTYPE|        |     |.text	../../../../crt1/gcrt1.S:230
__init              |00000102|   W  |            NOTYPE|        |     |.text	../../../../crt1/gcrt1.S:230
_pre_main()         |0000010e|   T  |              FUNC|00000014|     |.text	C:\Users\Spence\Documents\Arduino\hardware\DxCore\megaavr\cores\dxcore/main.cpp:112
__do_copy_data      |00000122|   T  |            NOTYPE|0000001a|     |.text	/home/admin/build/toolchain-avr-special/gcc-build/avr/avrxmega4/libgcc/../../../../gcc/libgcc/config/avr/lib1funcs.S:2373
__do_clear_bss      |0000013c|   T  |            NOTYPE|00000010|     |.text	/home/admin/build/toolchain-avr-special/gcc-build/avr/avrxmega4/libgcc/../../../../gcc/libgcc/config/avr/lib1funcs.S:2441
