# Memory Map - Human readable version

Memory Map for dummy.ino generated on:

F_CPU: 24000000         CLOCK_SOURCE: Internal        Part Name: avr128db64       Using Optiboot:          Reset Pin is:
Millis Timer: TCB2      Printf: Default               DxCore Version:             SPM from app:


Name of Symbol - Slightly abbreviated better readability                        |  Value |Class|    Type |   Size |  Sect |  Source File | Line
--------------------------------------------------------------------------------|--------|-----|---------|--------|-------|--------------|------
__heap_end                                                                      | 000000 |  W  |  NOTYPE |        | *ABS* |
__tmp_reg__                                                                     | 000000 |  a  |  NOTYPE |        | *ABS* |
__vector_default                                                                | 000000 |  W  |  NOTYPE |        | .text | crt1/gcrt1.S | 61
__vectors                                                                       | 000000 |  T  |  NOTYPE |        | .text | crt1/gcrt1.S | 61
__zero_reg__                                                                    | 000001 |  a  |  NOTYPE |        | *ABS* | |
__CCP__                                                                         | 000034 |  a  |  NOTYPE |        | *ABS* | |
__RAMPZ__                                                                       | 00003b |  a  |  NOTYPE |        | *ABS* | |
__SP_L__                                                                        | 00003d |  a  |  NOTYPE |        | *ABS* | |
__SP_H__                                                                        | 00003e |  a  |  NOTYPE |        | *ABS* | |
__SREG__                                                                        | 00003f |  a  |  NOTYPE |        | *ABS* | |
__ctors_start                                                                   | 000100 |  T  |  NOTYPE |        | .text | |
__trampolines_end                                                               | 000100 |  T  |  NOTYPE |        | .text | |
__trampolines_start                                                             | 000100 |  T  |  NOTYPE |        | .text | |
__ctors_end                                                                     | 000102 |  T  |  NOTYPE |        | .text | crt1/gcrt1.S | 230
__dtors_end                                                                     | 000102 |  T  |  NOTYPE |        | .text | crt1/gcrt1.S | 230
__dtors_start                                                                   | 000102 |  T  |  NOTYPE |        | .text | crt1/gcrt1.S | 230
__init                                                                          | 000102 |  W  |  NOTYPE |        | .text | crt1/gcrt1.S | 230
_pre_main()                                                                     | 00010e |  T  |    FUNC | 000014 | .text | cores/dxcore/main.cpp | 112
__do_copy_data                                                                  | 000122 |  T  |  NOTYPE | 00001a | .text | config/avr/lib1funcs.S | 2373
__do_clear_bss                                                                  | 00013c |  T  |  NOTYPE | 000010 | .text | config/avr/lib1funcs.S | 2441
.do_clear_bss_loop                                                              | 000144 |  t  |  NOTYPE |        | .text | config/avr/lib1funcs.S | 2446
.do_clear_bss_start                                                             | 000146 |  t  |  NOTYPE |        | .text | config/avr/lib1funcs.S | 2448
__do_global_ctors                                                               | 00014c |  T  |  NOTYPE | 000016 | .text | config/avr/lib1funcs.S | 2466
__bad_interrupt                                                                 | 00016a |  T  |  NOTYPE |        | .text | crt1/gcrt1.S | 209
__vector_1                                                                      | 00016a |  W  |  NOTYPE |        | .text | crt1/gcrt1.S | 209
__vector_10                                                                     | 00016a |  W  |  NOTYPE |        | .text | crt1/gcrt1.S | 209
__vector_11                                                                     | 00016a |  W  |  NOTYPE |        | .text | crt1/gcrt1.S | 209
__vector_12                                                                     | 00016a |  W  |  NOTYPE |        | .text | crt1/gcrt1.S | 209
__vector_13                                                                     | 00016a |  W  |  NOTYPE |        | .text | crt1/gcrt1.S | 209
__vector_14                                                                     | 00016a |  W  |  NOTYPE |        | .text | crt1/gcrt1.S | 209
__vector_15                                                                     | 00016a |  W  |  NOTYPE |        | .text | crt1/gcrt1.S | 209
__vector_16                                                                     | 00016a |  W  |  NOTYPE |        | .text | crt1/gcrt1.S | 209
__vector_17                                                                     | 00016a |  W  |  NOTYPE |        | .text | crt1/gcrt1.S | 209
__vector_18                                                                     | 00016a |  W  |  NOTYPE |        | .text | crt1/gcrt1.S | 209
__vector_2                                                                      | 00016a |  W  |  NOTYPE |        | .text | crt1/gcrt1.S | 209
__vector_21                                                                     | 00016a |  W  |  NOTYPE |        | .text | crt1/gcrt1.S | 209
__vector_22                                                                     | 00016a |  W  |  NOTYPE |        | .text | crt1/gcrt1.S | 209
__vector_23                                                                     | 00016a |  W  |  NOTYPE |        | .text | crt1/gcrt1.S | 209
